"Subj","ROI","Cond","Beta"
"sub-124846","R_CA12_NA","AllFirst",0.03888
"sub-124846","L_DGCA3_NA","AllFirst",0.3098
"sub-124846","R_DGCA3_NA","AllFirst",-0.01581
"sub-124846","L_HEADCA1_NA","AllFirst",0.104
"sub-124846","R_HEADCA1_NA","AllFirst",-0.03337
"sub-124846","L_HEADDGCA23_NA","AllFirst",0.1007
"sub-124846","R_HEADDGCA23_NA","AllFirst",0.04113
"sub-124846","L_HEADSUB_NA","AllFirst",0.03601
"sub-124846","R_HEADSUB_NA","AllFirst",-0.06988
"sub-124846","L_SUB_NA","AllFirst",0.3127
"sub-124846","R_SUB_NA","AllFirst",0.08952
"sub-124846","L_CA12_NA","CloseRepeat",0.01243
"sub-124846","R_CA12_NA","CloseRepeat",0.05467
"sub-124846","L_DGCA3_NA","CloseRepeat",0.1518
"sub-124846","R_DGCA3_NA","CloseRepeat",0.08839
"sub-124846","L_HEADCA1_NA","CloseRepeat",0.0289
"sub-124846","R_HEADCA1_NA","CloseRepeat",0.03839
"sub-124846","L_HEADDGCA23_NA","CloseRepeat",0.1179
"sub-124846","R_HEADDGCA23_NA","CloseRepeat",0.2044
"sub-124846","L_HEADSUB_NA","CloseRepeat",0.09267
"sub-124846","R_HEADSUB_NA","CloseRepeat",0.1424
"sub-124846","L_SUB_NA","CloseRepeat",0.1266
"sub-124846","R_SUB_NA","CloseRepeat",0.1836
"sub-124846","L_CA12_NA","DistantRepeat",0.03711
"sub-124846","R_CA12_NA","DistantRepeat",0.1031
"sub-124846","L_DGCA3_NA","DistantRepeat",0.225
"sub-124846","R_DGCA3_NA","DistantRepeat",0.04316
"sub-124846","L_HEADCA1_NA","DistantRepeat",0.1137
"sub-124846","R_HEADCA1_NA","DistantRepeat",-0.08761
"sub-124846","L_HEADDGCA23_NA","DistantRepeat",0.1452
"sub-124846","R_HEADDGCA23_NA","DistantRepeat",0.04241
"sub-124846","L_HEADSUB_NA","DistantRepeat",0.07034
"sub-124846","R_HEADSUB_NA","DistantRepeat",-0.02537
"sub-124846","L_SUB_NA","DistantRepeat",0.2493
"sub-124846","R_SUB_NA","DistantRepeat",0.179
"sub-124846","L_CA12_NA","ExactRepeat",0.1208
"sub-124846","R_CA12_NA","ExactRepeat",0.03735
"sub-124846","L_DGCA3_NA","ExactRepeat",0.2059
"sub-124846","R_DGCA3_NA","ExactRepeat",0.1396
"sub-124846","L_HEADCA1_NA","ExactRepeat",0.08535
"sub-124846","R_HEADCA1_NA","ExactRepeat",0.01962
"sub-124846","L_HEADDGCA23_NA","ExactRepeat",0.07084
"sub-124846","R_HEADDGCA23_NA","ExactRepeat",0.07045
"sub-124846","L_HEADSUB_NA","ExactRepeat",0.04142
"sub-124846","R_HEADSUB_NA","ExactRepeat",0.1716
"sub-124846","L_SUB_NA","ExactRepeat",0.1971
"sub-124846","R_SUB_NA","ExactRepeat",0.08514
"sub-173888","L_CA12_NA","AllFirst",0.01002
"sub-173888","R_CA12_NA","AllFirst",-0.171
"sub-173888","L_DGCA3_NA","AllFirst",0.1233
"sub-173888","R_DGCA3_NA","AllFirst",-0.1396
"sub-173888","L_HEADCA1_NA","AllFirst",-0.005405
"sub-173888","R_HEADCA1_NA","AllFirst",-0.05498
"sub-173888","L_HEADDGCA23_NA","AllFirst",-0.003377
"sub-173888","R_HEADDGCA23_NA","AllFirst",-0.04029
"sub-173888","L_HEADSUB_NA","AllFirst",-0.09922
"sub-173888","R_HEADSUB_NA","AllFirst",0.05828
"sub-173888","L_SUB_NA","AllFirst",0.08065
"sub-173888","R_SUB_NA","AllFirst",0.07271
"sub-173888","L_CA12_NA","CloseRepeat",-0.005781
"sub-173888","R_CA12_NA","CloseRepeat",-0.0882
"sub-173888","L_DGCA3_NA","CloseRepeat",0.03954
"sub-173888","R_DGCA3_NA","CloseRepeat",-0.03248
"sub-173888","L_HEADCA1_NA","CloseRepeat",-0.007408
"sub-173888","R_HEADCA1_NA","CloseRepeat",-0.001143
"sub-173888","L_HEADDGCA23_NA","CloseRepeat",-0.04073
"sub-173888","R_HEADDGCA23_NA","CloseRepeat",0.02798
"sub-173888","L_HEADSUB_NA","CloseRepeat",-0.04538
"sub-173888","R_HEADSUB_NA","CloseRepeat",-0.07594
"sub-173888","L_SUB_NA","CloseRepeat",-0.1383
"sub-173888","R_SUB_NA","CloseRepeat",0.008462
"sub-173888","L_CA12_NA","DistantRepeat",0.006202
"sub-173888","R_CA12_NA","DistantRepeat",-0.1395
"sub-173888","L_DGCA3_NA","DistantRepeat",0.1914
"sub-173888","R_DGCA3_NA","DistantRepeat",-0.1417
"sub-173888","L_HEADCA1_NA","DistantRepeat",0.1027
"sub-173888","R_HEADCA1_NA","DistantRepeat",-0.02325
"sub-173888","L_HEADDGCA23_NA","DistantRepeat",-0.03273
"sub-173888","R_HEADDGCA23_NA","DistantRepeat",0.074
"sub-173888","L_HEADSUB_NA","DistantRepeat",0.02986
"sub-173888","R_HEADSUB_NA","DistantRepeat",0.1052
